데이터프레임,train_test_split(Y/R),t-test(Y/N),변수선택법,VIF(Y/N),sampling 방식,적용모델,선택된 변수,혼동행렬,Accuracy,Precision,Recall,F1-score,ROC_accuracy,hyperparameter 변경,cut-off
small_business_df,R,t_Y,forward,v_N,RUSE,lg,"['총자본사업이익률', '자기자본구성비율', '종업원수', '단기차입금 대 총차입금비율', 'CASH FLOW 대 부채비율', 'EBITDA(백만원)', '재고자산 대 유동자산비율', '인건비(백만원)', '자기자본증가율', '타인자본구성비율', '총자본순이익률', '기업순이익률']","[[1770  382]
 [   5   30]]",0.823,0.073,0.857,0.134,0.9109999999999999,{'C': 0.001},cutoff
small_business_df,R,t_Y,stepwise,v_N,RUSE,lg,"['자기자본구성비율', '종업원수', '단기차입금 대 총차입금비율', 'CASH FLOW 대 부채비율', 'EBITDA(백만원)', '재고자산 대 유동자산비율', '인건비(백만원)', '자기자본증가율', '타인자본구성비율', '총자본순이익률', '기업순이익률']","[[1775  377]
 [   4   31]]",0.826,0.076,0.8859999999999999,0.14,0.927,{'C': 0.001},cutoff
small_business_df,R,t_Y,stepwise,v_N,SMOTE,lg,"['자기자본구성비율', '종업원수', '단기차입금 대 총차입금비율', 'CASH FLOW 대 부채비율', 'EBITDA(백만원)', '재고자산 대 유동자산비율', '인건비(백만원)', '자기자본증가율', '타인자본구성비율', '총자본순이익률', '기업순이익률']","[[1878  274]
 [   5   30]]",0.872,0.099,0.857,0.177,0.927,{'C': 0.1},cutoff
small_business_df,R,t_Y,forward,v_N,ROSE,lg,"['총자본사업이익률', '자기자본구성비율', '종업원수', '단기차입금 대 총차입금비율', 'CASH FLOW 대 부채비율', 'EBITDA(백만원)', '재고자산 대 유동자산비율', '인건비(백만원)', '자기자본증가율', '타인자본구성비율', '총자본순이익률', '기업순이익률']","[[1900  252]
 [   5   30]]",0.882,0.106,0.857,0.189,0.925,{'C': 0.1},cutoff
small_business_df,R,t_Y,forward,v_N,SMOTE,lg,"['총자본사업이익률', '자기자본구성비율', '종업원수', '단기차입금 대 총차입금비율', 'CASH FLOW 대 부채비율', 'EBITDA(백만원)', '재고자산 대 유동자산비율', '인건비(백만원)', '자기자본증가율', '타인자본구성비율', '총자본순이익률', '기업순이익률']","[[1895  257]
 [   5   30]]",0.88,0.105,0.857,0.18600000000000005,0.9279999999999999,{'C': 0.1},cutoff
small_business_df,R,t_Y,stepwise,v_N,ROSE,lg,"['자기자본구성비율', '종업원수', '단기차입금 대 총차입금비율', 'CASH FLOW 대 부채비율', 'EBITDA(백만원)', '재고자산 대 유동자산비율', '인건비(백만원)', '자기자본증가율', '타인자본구성비율', '총자본순이익률', '기업순이익률']","[[1908  244]
 [   5   30]]",0.8859999999999999,0.109,0.857,0.194,0.927,{'C': 0.01},cutoff
small_business_df,R,t_Y,Lasso,v_N,SMOTE,lg,"['자기자본증가율', '종업원1인당 인건비증가율', '총자본순이익률', '자기자본순이익률', '자본금영업이익률', '자본금순이익률', '경영자본순이익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', 'EPS(Earning Per Share)(원)', '유보율', '비유동비율', '비유동부채 대 순운전자본비율', '순운전자본비율', '차입금비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '유보액대비율', '부가가치(백만원)', '종업원1인당 부가가치(백만원)', '종업원1인당 순이익(백만원)', '부가가치(백만원).1', '법인세비용차감전(계속사업)손익(백만원)', '인건비(백만원)', '금융비용(백만원)', '감가상각비(백만원)', '종업원수', 'EBITDA(백만원)', '영업외손익률', '단기차입금 대 총차입금비율']","[[1806  346]
 [   3   32]]",0.84,0.085,0.914,0.155,0.9209999999999999,{'C': 100},cutoff
small_business_df,R,t_Y,None,v_N,SMOTE,lg,"['자기자본증가율', '종업원1인당 인건비증가율', '총자본사업이익률', '총자본영업이익률', '총자본순이익률', '자기자본영업이익률', '자기자본순이익률', '자본금영업이익률', '자본금순이익률', '기업순이익률', '경영자본순이익률', '외환이익 대 매출액비율', '수지비율', '감가상각률', '사내유보 대 자기자본비율', '적립금비율(재정비율)', 'EPS(Earning Per Share)(원)', '유보율', '자기자본구성비율', '타인자본구성비율', '자기자본배율', '비유동비율', '비유동장기적합률', '부채비율', '유동부채비율', '비유동부채비율', '비유동부채 대 순운전자본비율', '순운전자본비율', '차입금의존도', '차입금비율', '이자보상배율(순금융비용)', '유보액대비율', '유보액 대 납입자본배율', 'CASH FLOW 대 부채비율', 'CASH FLOW 대 총자본비율', '타인자본회전률', '유동자산회전률', '당좌자산회전률', '순운전자본회전률', '부가가치(백만원)', '종업원1인당 부가가치(백만원)', '종업원1인당 순이익(백만원)', '종업원1인당 인건비(백만원)', '총자본투자효율', '부가가치(백만원).1', '법인세비용차감전(계속사업)손익(백만원)', '인건비(백만원)', '금융비용(백만원)', '감가상각비(백만원)', '종업원1인당 부가가치(백만원).1', '총자본투자효율.1', '종업원수', 'PBR(Price book-value ratio)(최고)', 'EBITDA(백만원)', '매출액총이익률', '경영자본영업이익률', '매출원가 대 매출액비율', '영업외손익률', '재고자산 대 유동자산비율', '단기차입금 대 총차입금비율', '총자본회전률', '경영자본회전률']","[[1836  316]
 [   4   31]]",0.8540000000000001,0.08900000000000001,0.8859999999999999,0.162,0.917,{'C': 0.001},cutoff
small_business_df,R,t_Y,Lasso,v_N,RUSE,lg,"['자기자본증가율', '종업원1인당 인건비증가율', '총자본순이익률', '자기자본순이익률', '자본금영업이익률', '자본금순이익률', '경영자본순이익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', 'EPS(Earning Per Share)(원)', '유보율', '비유동비율', '비유동부채 대 순운전자본비율', '순운전자본비율', '차입금비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '유보액대비율', '부가가치(백만원)', '종업원1인당 부가가치(백만원)', '종업원1인당 순이익(백만원)', '부가가치(백만원).1', '법인세비용차감전(계속사업)손익(백만원)', '인건비(백만원)', '금융비용(백만원)', '감가상각비(백만원)', '종업원수', 'EBITDA(백만원)', '영업외손익률', '단기차입금 대 총차입금비율']","[[1778  374]
 [   3   32]]",0.828,0.079,0.914,0.145,0.917,{'C': 10},cutoff
diff_df,R,t_Y,None,v_N,RUSE,rf,"['growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_적립금비율(재정비율)', 'growth_rate_유동자산 대 비유동자산비율', 'growth_rate_비유동비율', 'growth_rate_비유동장기적합률', 'growth_rate_부채비율', 'growth_rate_비유동부채비율', 'growth_rate_유보액대비율', 'growth_rate_종업원1인당 매출액(백만원)', 'growth_rate_EBITDA(백만원)', 'growth_rate_EBITDA/매출액(%)', 'growth_rate_자기자본증가율', 'growth_rate_총자본사업이익률', 'growth_rate_총자본영업이익률', 'growth_rate_총자본순이익률', 'growth_rate_자기자본영업이익률', 'growth_rate_자기자본순이익률', 'growth_rate_기업순이익률', 'growth_rate_경영자본영업이익률', 'growth_rate_경영자본순이익률', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_순운전자본회전률', 'growth_rate_운전자본회전률']","[[2336  521]
 [   3   27]]",0.818,0.049,0.9,0.093,0.923,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 10}",cutoff
