데이터프레임,train_test_split(Y/R),t-test(Y/N),변수선택법,VIF(Y/N),sampling 방식,적용모델,선택된 변수,혼동행렬,Accuracy,Precision,Recall,F1-score,hyperparameter 변경
binning_final_df,Y,t_Y,stepwise,v_N,RUSE,lg,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[2648  589]
 [   9   29]]",0.8170000000000001,0.047,0.763,0.08800000000000001,none
binning_final_df,Y,t_Y,stepwise,v_N,RUSE,sgd,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[3217   20]
 [  36    2]]",0.983,0.091,0.053,0.067,none
binning_final_df,Y,t_Y,stepwise,v_N,RUSE,knn,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[2654  583]
 [  12   26]]",0.818,0.043,0.684,0.08,none
binning_final_df,Y,t_Y,stepwise,v_N,RUSE,svm,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[2599  638]
 [   6   32]]",0.8029999999999999,0.048,0.8420000000000001,0.09,none
binning_final_df,Y,t_Y,stepwise,v_N,RUSE,dt,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[2546  691]
 [  13   25]]",0.785,0.035,0.6579999999999999,0.066,none
binning_final_df,Y,t_Y,stepwise,v_N,RUSE,pr,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[2048 1189]
 [   3   35]]",0.636,0.029,0.921,0.055,none
binning_final_df,Y,t_Y,stepwise,v_N,RUSE,rf,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[2616  621]
 [   7   31]]",0.8079999999999999,0.048,0.816,0.09,none
binning_final_df,Y,t_Y,stepwise,v_N,ROSE,lg,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[2701  536]
 [   8   30]]",0.8340000000000001,0.053,0.789,0.099,none
binning_final_df,Y,t_Y,stepwise,v_N,ROSE,sgd,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[2867  370]
 [  10   28]]",0.884,0.07,0.737,0.128,none
binning_final_df,Y,t_Y,stepwise,v_N,ROSE,knn,"['총자본순이익률', 'CASH FLOW 대 총자본비율', '단기차입금 대 총차입금비율', '자본분배율', '매입채무회전기간', '자기자본배당률', '비유동자산증가율', '부가가치율.1', '자기자본구성비율', '재고자산 대 유동자산비율', '종업원수', '금융비용(백만원)', '타인자본구성비율']","[[3196   41]
 [  34    4]]",0.977,0.08900000000000001,0.105,0.096,none
