데이터프레임,train_test_split(Y/R),t-test(Y/N),변수선택법,VIF(Y/N),sampling 방식,적용모델,선택된 변수,혼동행렬,Accuracy,Precision,Recall,F1-score,hyperparameter 변경
basic_final_df,Y,t_Y,Lasso,v_Y,RUSE,lg,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[2803  434]
 [  13   25]]",0.8640000000000001,0.054000000000000006,0.6579999999999999,0.101,none
basic_final_df,Y,t_Y,Lasso,v_Y,RUSE,sgd,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[2845  392]
 [  13   25]]",0.8759999999999999,0.06,0.6579999999999999,0.11,none
basic_final_df,Y,t_Y,Lasso,v_Y,RUSE,knn,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[2592  645]
 [   9   29]]",0.8,0.043,0.763,0.081,none
basic_final_df,Y,t_Y,Lasso,v_Y,RUSE,svm,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[1419 1818]
 [   4   34]]",0.444,0.018000000000000002,0.895,0.036000000000000004,none
basic_final_df,Y,t_Y,Lasso,v_Y,RUSE,dt,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[2431  806]
 [  15   23]]",0.7490000000000001,0.028,0.605,0.053,none
basic_final_df,Y,t_Y,Lasso,v_Y,RUSE,pr,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[2458  779]
 [   6   32]]",0.76,0.039,0.8420000000000001,0.075,none
basic_final_df,Y,t_Y,Lasso,v_Y,RUSE,rf,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[2665  572]
 [   7   31]]",0.823,0.051,0.816,0.097,none
basic_final_df,Y,t_Y,Lasso,v_Y,ROSE,lg,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[3234    3]
 [  38    0]]",0.987,0.0,0.0,0.0,none
basic_final_df,Y,t_Y,Lasso,v_Y,ROSE,sgd,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[3171   66]
 [  36    2]]",0.969,0.029,0.053,0.038,none
basic_final_df,Y,t_Y,Lasso,v_Y,ROSE,knn,"['자기자본증가율', '종업원1인당 인건비증가율', '자기자본순이익률', '경영자본순이익률', '영업외손익률', '수지비율', '사내유보 대 자기자본비율', '적립금비율(재정비율)', '1주당매출액(원)', 'EPS(Earning Per Share)(원)', 'CPS(Cash flow Per Share)(원)', 'BPS(Book-value Per Share)(원)', '비유동부채비율', '이자보상배율(이자비용)', '이자보상배율(순금융비용)', '종업원1인당 매출액(백만원)', '종업원1인당 순이익(백만원)', 'EBITDA/매출액(%)', '단기차입금 대 총차입금비율']","[[3161   76]
 [  33    5]]",0.9670000000000001,0.062,0.132,0.084,none
