,회사명,거래소코드,회계년도,산업코드,회계년월,평가일,업종코드,소속코드,상장일,상장폐지일,신용등급,감사의견코드,감사의견,산업대분류,회계년도_new
0,(주)샘코,263540,2020/12,033103,2020/12,2020/09/14,01,06,2017/09/15,,B-,DU,,03,2020
24,(주)좋은사람들,33340,2020/12,031401,2020/12,2015/06/05,01,06,1997/11/03,,BBB-,DS,,03,2020
1,(주)아이티엑스에이아이,99520,2020/12,032605,2020/12,2020/05/13,01,06,2009/12/22,,BB,DS,,03,2020
217,(주)씨엔플러스,115530,2020/12,032602,,,01,06,2011/11/02,,,DS,,03,2020
218,(주)코스온,69110,2020/12,032004,,,01,06,2003/10/14,,,DS,,03,2020
219,명성티엔에스(주),257370,2020/12,032902,,,01,06,2018/09/13,,,DS,,03,2020
221,테라셈(주),182690,2020/12,032601,,,01,06,2014/10/30,,,DS,,03,2020
222,(주)금빛,45890,2020/12,032804,,,01,06,2005/11/28,,,DU,,03,2020
223,(주)뉴로스,126870,2020/12,032901,,,01,06,2012/02/15,,,DU,,03,2020
225,(주)에코마이스터,64510,2020/12,032902,,,01,06,2018/03/15,,,DU,,03,2020
229,(주)센트럴인사이트,12600,2020/12,032901,,,01,03,1990/07/10,,,DS,,03,2020
230,쌍용자동차(주),3620,2020/12,033001,,,01,03,1975/05/21,,,DU,,03,2020
266,(주)소리바다,53110,2020/12,106301,,,01,06,2001/10/09,,,DS,,10,2020
267,(주)씨오더블유오엔,56000,2020/12,105802,,,01,06,2003/07/11,,,DS,,10,2020
268,(주)엔지스테크널러지,208860,2020/12,105802,,,01,06,2016/07/28,,,DS,,10,2020
271,(주)제이웨이,58420,2020/12,105901,,,01,06,2002/01/10,,,DU,,10,2020
293,(주)유테크,178780,2020/12,074608,,,01,06,2015/06/30,,,DS,,07,2020
294,(주)포티스,141020,2020/12,074709,,,01,06,2013/01/29,,,DS,,07,2020
298,파나케이아(주),58530,2020/12,074604,,,01,06,2002/02/05,,,DU,,07,2020
43,(주)성안,11300,2020/12,031302,2020/12,2009/09/15,01,03,1995/11/10,,BB-,DS,,03,2020
299,(주)폴루스바이오팜,7630,2020/12,074601,,,01,03,1988/10/24,,,DU,,07,2020
16,(주)한프,66110,2020/12,032603,2020/12,2017/07/25,01,06,2002/07/16,,B-,DS,,03,2020
3,현진소재(주),53660,2020/12,032509,2020/12,2020/02/20,01,06,2002/02/15,,CCC,DU,,03,2020
2,(주)온코퀘스트파마슈티컬,78590,2020/12,033003,2020/12,2020/04/23,01,06,2005/10/27,,BB0,DU,,03,2020
19,(주)아리온테크놀로지,58220,2020/12,032604,2020/12,2017/04/20,01,06,2005/08/05,,BB-,DU,,03,2020
9,(주)매직마이크로,127160,2020/12,032602,2020/12,2018/06/14,01,06,2015/11/19,,BB+,DU,,03,2020
296,애머릿지코퍼레이션,900100,2019/12,074502,,,01,06,2010/04/21,,,DU,,07,2019
297,지스마트글로벌(주),114570,2019/12,074608,,,01,06,2010/02/04,,,DU,,07,2019
4,(주)이큐셀,160600,2019/12,032902,2019/12,2019/09/26,01,06,2015/06/26,,BBB,DU,,03,2019
220,에이치엔티일렉트로닉스(주),176440,2019/12,032602,,,01,06,2016/11/28,,,DS,,03,2019
228,크로바하이텍(주),43590,2019/12,032601,,,01,06,2001/12/20,,,DU,,03,2019
227,코오롱티슈진(주),950160,2019/12,032101,,,01,06,2017/11/06,,,DU,,03,2019
190,(주)피앤텔,54340,2019/12,032604,,,01,04,2002/01/10,2020/05/21,,DU,,03,2019
161,(주)에스마크,30270,2019/12,031301,,,01,04,1997/01/17,2020/05/21,,DU,,03,2019
292,(주)엠피대산,65150,2019/12,074603,,,01,06,2007/07/18,,,DS,,07,2019
6,웅진에너지(주),103130,2019/12,032601,2019/12,2019/03/28,01,04,2010/06/30,2020/06/01,CCC,DU,,03,2019
7,(주)에스에프씨,112240,2019/12,032202,2019/12,2018/06/25,01,04,2011/11/30,2020/06/30,BB+,DS,,03,2019
224,(주)리드,197210,2019/12,032902,,,01,06,2015/11/20,,,DU,,03,2019
5,이엘케이(주),94190,2019/12,032602,2019/12,2019/04/02,01,04,2007/10/29,2020/05/22,D,DU,,03,2019
153,(주)씨티네트웍스,189540,2019/12,032604,,,01,04,2013/12/24,2020/05/12,,DU,,03,2019
269,(주)스포츠서울,39670,2019/03,105801,,,01,06,2004/01/16,,,DU,,10,2019
8,참존글로벌(주),158310,2019/12,032902,2019/12,2018/06/15,01,06,2013/04/03,,B-,DU,,03,2019
12,(주)화진,134780,2019/12,033003,2019/12,2018/04/17,01,04,2011/08/10,2020/07/02,BBB-,DS,,03,2019
265,(주)골드앤에스,35290,2019/12,105801,,,01,06,1999/12/07,,,DS,,10,2019
92,(주)엘피케이로보틱스,183350,2018/12,032902,,,01,04,2013/10/11,2020/06/17,,DS,,03,2018
11,(주)코다코,46070,2018/12,033003,2018/12,2018/04/25,01,06,2000/12/26,,BBB-,DS,,03,2018
83,(주)데코앤이,17680,2018/12,031401,,,01,04,1993/09/03,2019/11/20,,DS,,03,2018
13,씨앤티85(주),56730,2018/12,074607,2018/12,2018/04/11,01,06,2002/01/04,,B+,DS,,07,2018
270,(주)아이톡시,52770,2018/12,105802,,,01,06,2002/08/22,,,DU,,10,2018
226,(주)이엠앤아이,83470,2018/12,032202,,,01,06,2008/09/18,,,DU,,03,2018
18,(주)에프티이앤이,65160,2018/12,032005,2018/12,2017/05/12,01,04,2002/07/30,2019/05/03,B,DS,,03,2018
97,(주)주노콜렉션,221670,2018/12,031501,,,01,04,2017/06/27,2019/07/16,,DS,,03,2018
21,(주)파인넥스,123260,2018/12,032601,2018/12,2016/06/29,01,04,2011/12/05,2020/04/10,CCC,DU,,03,2018
295,아래스(주),50320,2018/12,074605,,,01,06,2002/01/15,,,DU,,07,2018
132,(주)바이오빌,65940,2018/12,032001,,,01,04,2003/01/07,2020/07/31,,DU,,03,2018
10,(주)하이소닉,106080,2018/12,032602,2018/12,2018/05/14,01,06,2010/02/09,,B,DU,,03,2018
205,에스엠로보틱스(주),252940,2017/12,033304,,,01,04,2016/09/30,2018/04/25,,DU,,03,2017
20,(주)우성아이비,194610,2017/12,033309,2017/12,2016/12/31,01,04,2014/06/10,2018/10/12,B+,DU,"영업손실이 14,794백만원 발생, 종속회사 지급보증액 미화 1,000천불(원화환산액 1,071백만원)에 대한 우발채무를 부담하고 있는 상황은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2017
86,(주)모다,149940,2017/12,032604,,,01,04,2012/09/25,2020/07/10,,DS,,03,2017
240,(주)파티게임즈,194510,2017/12,105802,,,01,04,2014/11/21,2020/09/09,,DS,회사가 사채발행 및 유상증자와 직접적인 관련이 없는 경영자문수수료를 특수관계자인 ㈜대신피이아이 1호와 ㈜더에스피씨에게 지급 등의 거래와 관련한 충분하고적합한 감사증거를 확보하지 못하였음.,10,2017
236,(주)씨그널엔터테인먼트그룹,99830,2017/12,105901,,,01,04,2011/01/24,2018/05/04,,DS,,10,2017
251,(주)시냅스엠,246830,2017/12,106301,,,01,04,2016/07/13,2018/05/14,,DU,,10,2017
275,(주)위너지스,26260,2017/12,074608,,,01,04,1996/09/24,2018/10/11,,DS,,07,2017
17,(주)트레이스,52290,2017/12,032602,2017/12,2017/06/02,01,04,2001/05/31,2018/10/11,B-,DS,,03,2017
231,(주)넥스지,81970,2017/12,105802,,,01,04,2007/08/20,2018/10/11,,DS,,10,2017
99,(주)태경피엔에스,235090,2017/12,032902,,,01,04,2016/03/16,2018/05/09,,DS,,03,2017
22,(주)유디피,91270,2017/12,105802,2017/12,2016/01/04,01,04,2014/12/12,2018/04/18,BB,DU,,10,2017
90,(주)에스와이제이,251540,2017/12,031401,,,01,04,2017/05/02,2018/09/07,,DS,,03,2017
14,레이젠(주),47440,2017/12,032602,2017/12,2017/09/21,01,04,2001/11/20,2018/10/11,B,DU,,03,2017
147,(주)스틸플라워,87220,2017/12,032401,,,01,04,2009/10/27,2018/05/08,,DU,,03,2017
15,(주)지디,155960,2017/12,032602,2017/12,2017/08/18,01,04,2013/02/13,2018/10/12,B+,DS,,03,2017
91,(주)에임하이글로벌,43580,2017/12,032602,,,01,04,2001/08/02,2018/08/10,,DS,,03,2017
169,(주)엔에스브이,95300,2016/12,032901,,,01,04,2009/04/17,2017/09/12,,DU,자금거래 및 부정방지와 관련하여 충분하고 적합한 통제절차를 운영하지 않은 상황은 회사의 자금거래 및 부정방지와 관련된 내부회계관리제도의 전반적 신뢰성에 심각한훼손이 있는 상황임.,03,2016
23,(주)썬코어,51170,2016/12,032901,2016/12,2015/12/00,01,04,2001/10/23,2018/03/15,B+,DU,"35,148백만원의 당기순손실로 인하여 일부 자본잠식이 발생하였으며 유동부채가 유동자산을 10,449백만원 초과한 상황등은 회사의 계속기업으로서의 존속능력에 유의적인 의문을 제기함.",03,2016
