회사명,거래소코드,회계년도,산업코드,소속코드,상장일,상장폐지일,감사의견코드
(주)CMG제약,058820,2007/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2008/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2009/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2010/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2011/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2012/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2013/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2014/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2015/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2016/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2017/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2018/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2019/12,032102,5,2001/08/31,,UQ
(주)CMG제약,058820,2020/12,032102,5,2001/08/31,,UQ
(주)ES큐브,050120,2007/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2008/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2009/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2010/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2011/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2012/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2013/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2014/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2015/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2016/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2017/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2018/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2019/12,074604,5,2002/04/25,,UQ
(주)ES큐브,050120,2020/12,074604,5,2002/04/25,,UQ
(주)가비아,079940,2007/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2008/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2009/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2010/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2011/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2012/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2013/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2014/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2015/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2016/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2017/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2018/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2019/12,105802,5,2005/10/19,,UQ
(주)가비아,079940,2020/12,105802,5,2005/10/19,,UQ
(주)강스템바이오텍,217730,2015/12,032101,5,2015/12/21,,UQ
(주)강스템바이오텍,217730,2016/12,032101,5,2015/12/21,,UQ
(주)강스템바이오텍,217730,2017/12,032101,5,2015/12/21,,UQ
(주)강스템바이오텍,217730,2018/12,032101,5,2015/12/21,,UQ
(주)강스템바이오텍,217730,2019/12,032101,5,2015/12/21,,UQ
(주)강스템바이오텍,217730,2020/12,032101,5,2015/12/21,,UQ
(주)강원,114190,2009/11,032501,6,2009/11/20,,UQ
(주)강원,114190,2010/11,032501,6,2009/11/20,,UQ
(주)강원,114190,2011/11,032501,6,2009/11/20,,UQ
(주)강원,114190,2012/12,032501,6,2009/11/20,,UQ
(주)강원,114190,2013/12,032501,6,2009/11/20,,UQ
(주)강원,114190,2014/12,032501,6,2009/11/20,,UQ
(주)강원,114190,2015/12,032501,6,2009/11/20,,UQ
(주)강원,114190,2016/12,032501,6,2009/11/20,,UQ
(주)강원,114190,2017/12,032501,6,2009/11/20,,UQ
(주)강원,114190,2018/12,032501,6,2009/11/20,,UQ
(주)강원,114190,2019/12,032501,6,2009/11/20,,QS
(주)강원,114190,2020/12,032501,6,2009/11/20,,UQ
(주)게임빌,063080,2009/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2010/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2011/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2012/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2013/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2014/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2015/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2016/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2017/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2018/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2019/12,105802,5,2009/07/30,,UQ
(주)게임빌,063080,2020/12,105802,5,2009/07/30,,UQ
(주)경윤하이드로에너지,019120,2007/12,031501,4,1992/12/18,2011/04/06,UQ
(주)경윤하이드로에너지,019120,2008/12,031501,4,1992/12/18,2011/04/06,UQ
(주)경윤하이드로에너지,019120,2009/12,031501,4,1992/12/18,2011/04/06,UQ
(주)경윤하이드로에너지,019120,2010/12,031501,4,1992/12/18,2011/04/06,UQ
(주)고려시멘트,198440,2014/12,032303,5,2014/08/13,,UQ
(주)고려시멘트,198440,2015/12,032303,5,2014/08/13,,UQ
(주)고려시멘트,198440,2016/12,032303,5,2014/08/13,,UQ
(주)고려시멘트,198440,2017/12,032303,5,2014/08/13,,UQ
(주)고려시멘트,198440,2018/12,032303,5,2014/08/13,,UQ
(주)고려시멘트,198440,2019/12,032303,5,2014/08/13,,UQ
(주)고려시멘트,198440,2020/12,032303,5,2014/08/13,,UQ
(주)고바이오랩,348150,2020/12,137001,5,2020/11/18,,UQ
(주)고영테크놀러지,098460,2008/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2009/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2010/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2011/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2012/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2013/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2014/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2015/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2016/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2017/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2018/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2019/12,032902,5,2008/06/03,,UQ
(주)고영테크놀러지,098460,2020/12,032902,5,2008/06/03,,UQ
(주)골드앤에스,035290,2007/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2008/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2009/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2010/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2011/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2012/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2013/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2014/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2015/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2016/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2017/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2018/12,105801,6,1999/12/07,,UQ
(주)골드앤에스,035290,2019/12,105801,6,1999/12/07,,DS
(주)골드앤에스,035290,2020/12,105801,6,1999/12/07,,UQ
(주)골드카운티,058900,2007/12,105802,4,2004/10/29,2010/10/12,UQ
(주)골드카운티,058900,2008/12,105802,4,2004/10/29,2010/10/12,UQ
(주)골드카운티,058900,2009/12,105802,4,2004/10/29,2010/10/12,UQ
(주)골드퍼시픽,038530,2007/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2008/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2009/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2010/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2011/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2012/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2013/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2014/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2015/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2016/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2017/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2018/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2019/12,074604,5,2000/06/09,,UQ
(주)골드퍼시픽,038530,2020/12,074604,5,2000/06/09,,UQ
(주)골프존,215000,2015/12,105802,5,2015/04/03,,UQ
(주)골프존,215000,2016/12,105802,5,2015/04/03,,UQ
(주)골프존,215000,2017/12,105802,5,2015/04/03,,UQ
(주)골프존,215000,2018/12,105802,5,2015/04/03,,UQ
(주)골프존,215000,2019/12,105802,5,2015/04/03,,UQ
(주)골프존,215000,2020/12,105802,5,2015/04/03,,UQ
(주)골프존뉴딘홀딩스,121440,2011/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2012/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2013/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2014/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2015/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2016/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2017/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2018/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2019/12,074601,5,2011/05/20,,UQ
(주)골프존뉴딘홀딩스,121440,2020/12,074601,5,2011/05/20,,UQ
(주)광림,014200,2007/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2008/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2009/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2010/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2011/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2012/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2013/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2014/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2015/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2016/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2017/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2018/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2019/12,033001,5,1993/07/07,,UQ
(주)광림,014200,2020/12,033001,5,1993/07/07,,UQ
(주)광진윈텍,090150,2007/12,033003,5,2006/10/20,,UQ
(주)광진윈텍,090150,2008/12,033003,5,2006/10/20,,UQ
(주)광진윈텍,090150,2009/12,033003,5,2006/10/20,,UQ
(주)광진윈텍,090150,2010/12,033003,5,2006/10/20,,UQ
(주)광진윈텍,090150,2011/12,033003,5,2006/10/20,,UQ
(주)광진윈텍,090150,2012/12,033003,5,2006/10/20,,UQ
(주)광진윈텍,090150,2013/12,033003,5,2006/10/20,,UQ
