회사명,거래소코드,회계년도,산업코드,소속코드,상장일,상장폐지일,감사의견코드
(주)DB하이텍,000990,2007/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2008/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2009/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2010/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2011/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2012/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2013/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2014/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2015/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2016/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2017/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2018/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2019/12,032601,1,1975/12/12,,UQ
(주)DB하이텍,000990,2020/12,032601,1,1975/12/12,,UQ
(주)LG데이콤,015940,2007/12,106102,4,1993/01/30,2010/01/15,UQ
(주)LG데이콤,015940,2008/12,106102,4,1993/01/30,2010/01/15,UQ
(주)LG파워콤,045820,2008/12,106102,4,2008/11/27,2010/01/15,UQ
(주)MH에탄올,023150,2007/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2008/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2009/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2010/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2011/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2012/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2013/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2014/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2015/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2016/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2017/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2018/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2019/12,031101,1,1996/12/24,,UQ
(주)MH에탄올,023150,2020/12,031101,1,1996/12/24,,UQ
(주)SH에너지화학,002360,2007/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2008/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2009/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2010/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2011/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2012/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2013/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2014/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2015/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2016/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2017/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2018/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2019/12,032001,1,1985/12/23,,UQ
(주)SH에너지화학,002360,2020/12,032001,1,1985/12/23,,UQ
(주)SIMPAC,009160,2007/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2008/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2009/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2010/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2011/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2012/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2013/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2014/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2015/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2016/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2017/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2018/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2019/12,032902,1,1989/07/29,,UQ
(주)SIMPAC,009160,2020/12,032902,1,1989/07/29,,UQ
(주)SNT에너지,100840,2008/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2009/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2010/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2011/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2012/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2013/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2014/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2015/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2016/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2017/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2018/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2019/12,032901,1,2008/02/22,,UQ
(주)SNT에너지,100840,2020/12,032901,1,2008/02/22,,UQ
(주)SNT홀딩스,036530,2007/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2008/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2009/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2010/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2011/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2012/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2013/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2014/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2015/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2016/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2017/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2018/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2019/12,137105,1,2002/10/22,,UQ
(주)SNT홀딩스,036530,2020/12,137105,1,2002/10/22,,UQ
(주)STX,011810,2007/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2008/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2009/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2010/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2011/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2012/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2013/12,074608,1,1990/09/12,,QS
(주)STX,011810,2014/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2015/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2016/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2017/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2018/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2019/12,074608,1,1990/09/12,,UQ
(주)STX,011810,2020/12,074608,1,1990/09/12,,UQ
(주)TCC스틸,002710,2007/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2008/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2009/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2010/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2011/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2012/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2013/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2014/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2015/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2016/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2017/12,032401,1,1984/12/21,,UQ
(주)TCC스틸,002710,2018/12,032401,1,1984/12/21,,UQ
